nu,block_size,scale_format,round_mode,rht,slope,slope_ci_low,slope_ci_high,gap_from_theoretical,intercept,c_hat,bucket,positive_slope_flag,n_resamples
5,16,e8m0,sr,True,-0.481272669705943,-0.48174625366382684,-0.480865833388769,0.018727330294056987,-0.6072074449932834,1.8120681589282726,weakening (slower decay than -0.5),False,2000
8,16,e8m0,rtne,False,-0.4877926957371092,-0.4883285751885209,-0.4873743455093477,0.012207304262890795,-0.7572229697331045,1.5910117990515067,weakening (slower decay than -0.5),False,2000
8,16,e8m0,sr,True,-0.48730129712366405,-0.4876945022327907,-0.48683959925804243,0.012698702876335954,-0.6194645821918829,1.8081608311255881,weakening (slower decay than -0.5),False,2000
2,32,e4m3,rtne,False,-0.3441749572970732,-0.34444338350849685,-0.34391006723510764,0.1558250427029268,-0.8576631463853829,1.1460173132792182,weakening (slower decay than -0.5),False,2000
5,32,e4m3,sr,False,-0.46636389304874193,-0.46674963258206886,-0.4658816594670908,0.03363610695125807,-0.6871862884921236,1.6454543643847352,weakening (slower decay than -0.5),False,2000
8,16,e4m3,sr,True,-0.4862912172212138,-0.4866877829293985,-0.4858253667543551,0.013708782778786177,-0.6920578045998174,1.773909917735304,weakening (slower decay than -0.5),False,2000
1,32,e4m3,sr,False,-0.07940088198184496,-0.07994229865382319,-0.0788633925584055,0.420599118018155,-0.750777271133584,1.0346889458383708,weakening (slower decay than -0.5),False,2000
2,32,e8m0,sr,True,-0.36648989866102305,-0.36678359265200106,-0.3661761859619989,0.13351010133897695,-0.626650080635438,1.3879635084366184,weakening (slower decay than -0.5),False,2000
30,16,e4m3,sr,False,-0.4912991437517914,-0.4917041309448524,-0.49086280878843824,0.0087008562482086,-0.7072712276325022,1.7528445389588625,weakening (slower decay than -0.5),False,2000
2,32,e8m0,sr,False,-0.32244575213471244,-0.32276885074049505,-0.32214469583335,0.17755424786528756,-0.6010931809413507,1.4750597278106095,weakening (slower decay than -0.5),False,2000
30,16,e4m3,rtne,True,-0.49371626409353647,-0.4941166837493542,-0.4932734426097437,0.006283735906463528,-0.8583908796391246,1.46863294709861,weakening (slower decay than -0.5),False,2000
8,16,e4m3,rtne,True,-0.4901344721647053,-0.49053470410515365,-0.48975766869133375,0.009865527835294707,-0.8401160774486307,1.4984193129660337,weakening (slower decay than -0.5),False,2000
5,16,e4m3,rtne,True,-0.48317324455811134,-0.48367182452105845,-0.4826941043422248,0.016826755441888663,-0.8258317554904229,1.5183946523138339,weakening (slower decay than -0.5),False,2000
2,16,e4m3,sr,True,-0.3612811589705296,-0.3615761045717436,-0.36094802960530736,0.1387188410294704,-0.6957418126117445,1.540492619694283,weakening (slower decay than -0.5),False,2000
3,32,e8m0,sr,True,-0.4508731731400986,-0.4510754723019364,-0.4506388731724945,0.049126826859901385,-0.5911158322896146,1.6452727719301354,weakening (slower decay than -0.5),False,2000
5,32,e4m3,rtne,True,-0.4752167891546518,-0.47578374889381525,-0.4748062398420473,0.02478321084534818,-0.8237009478623818,1.4351414185348383,weakening (slower decay than -0.5),False,2000
3,32,e4m3,rtne,False,-0.4330790567479539,-0.43327482267894796,-0.43287294315022956,0.06692094325204612,-0.8280369168174158,1.3379221423829868,weakening (slower decay than -0.5),False,2000
3,16,e8m0,sr,False,-0.4368586221391505,-0.43709824246882456,-0.43660092392887756,0.0631413778608495,-0.576442107051812,1.8427200606966423,weakening (slower decay than -0.5),False,2000
gaussian,16,e4m3,rtne,False,-0.49599503580041915,-0.4964437287022669,-0.4956167683800952,0.004004964199580852,-0.8593121722785959,1.4719542850986556,weakening (slower decay than -0.5),False,2000
2,32,e4m3,sr,False,-0.3343881248266946,-0.33467424282142394,-0.33408862545904,0.1656118751733054,-0.7219115156504123,1.2876222508400272,weakening (slower decay than -0.5),False,2000
1,16,e8m0,rtne,True,-0.08685755126656611,-0.08733351070089312,-0.08635734590988321,0.41314244873343386,-0.8808676081427556,0.9639154619468027,weakening (slower decay than -0.5),False,2000
