nu,n,round_mode,rht,n_trials_per_cell,effect_block,effect_block_ci_low,effect_block_ci_high,effect_scale,effect_scale_ci_low,effect_scale_ci_high,interaction,interaction_ci_low,interaction_ci_high,effect_block_significant,effect_scale_significant,interaction_significant,dominant_factor
5,256,rtne,False,1000,-0.0889320370090001,-0.09753823601668381,-0.08034006996995213,-0.25499133582529687,-0.2592286869293732,-0.2503526081319001,-0.0300473425893939,-0.033478048851188526,-0.026445227868414745,True,True,True,scale
5,256,rtne,True,1000,-0.039087284675432876,-0.04598222775184734,-0.03074139793481745,-0.14064467895296318,-0.14257945492441065,-0.13868942198319195,-0.03230592724370229,-0.035236091115313915,-0.029072199385678798,True,True,True,scale
5,256,sr,False,1000,-0.07920809852211264,-0.08927344478813382,-0.07096007915929547,-0.24397801476421455,-0.24908722834640046,-0.2379298172195582,-0.022791053187256605,-0.026026965646081566,-0.019422931679432622,True,True,True,scale
5,256,sr,True,1000,-0.04559882656068659,-0.05598396026917678,-0.03718101036154842,-0.13470257646753137,-0.13653294785647985,-0.1322779104480702,-0.026678105683639153,-0.029570180634903374,-0.0234169173760161,True,True,True,scale
5,1024,rtne,False,1000,-0.08980000361655893,-0.10324359362009261,-0.08418728690061883,-0.26444578308407785,-0.2677147167070206,-0.25700712134359394,-0.025382055715822638,-0.028447990093520347,-0.02176331121621143,True,True,True,scale
5,1024,rtne,True,1000,-0.04819513048907442,-0.05276550102368285,-0.04124489984478963,-0.13820581017864697,-0.13999971304365771,-0.13650510848954825,-0.0329918073937403,-0.0360614741046418,-0.03045763811500255,True,True,True,scale
5,1024,sr,False,1000,-0.08937510170219909,-0.09259575540806608,-0.08225029411794615,-0.25116108594935227,-0.2588344085900005,-0.24820679032887405,-0.02230308748638965,-0.02514792986512595,-0.018980794791744394,True,True,True,scale
5,1024,sr,True,1000,-0.03093964443691366,-0.03656708884170978,-0.02778532251366274,-0.13339768793879614,-0.135309663456392,-0.13165102021645586,-0.027585646163365674,-0.03035027316203067,-0.02455565752283948,True,True,True,scale
5,4096,rtne,False,1000,-0.09052100832750476,-0.09849563464559807,-0.08196570571190875,-0.2659091397902529,-0.27147121810684416,-0.2599973788497737,-0.03138258102026814,-0.03430937759311357,-0.02858087658034929,True,True,True,scale
5,4096,rtne,True,1000,-0.03987506863680146,-0.05289799748420131,-0.031173797525736013,-0.13547848453472344,-0.13755748200724266,-0.1329646130643446,-0.032230764495135844,-0.035005948636260144,-0.029034745096319915,True,True,True,scale
5,4096,sr,False,1000,-0.0868168793912707,-0.0947794114653071,-0.08063175438246165,-0.25215718101994256,-0.25802489356724156,-0.24716375634617235,-0.02227541162189972,-0.024788155734665616,-0.019249358705497623,True,True,True,scale
5,4096,sr,True,1000,-0.03514315741287266,-0.04318097625043644,-0.030775150816121876,-0.1342783386899553,-0.13594328347922588,-0.13212012959054759,-0.030632800577426345,-0.033356316169170896,-0.027803937221684994,True,True,True,scale
